Transformation,CV Improvement,Test Improvement,Rank
Standard,-0.0035058461818698555,-0.00017746228926351915,1.0
MinMax,-0.003682480497777577,-0.0028393966282165123,2.0
Robust,-0.004703578638839412,-0.0026619343389529776,3.0
Yeo-Johnson,-0.005679759225348103,-0.0008873114463176433,4.0
Quantile,-0.006966843806966312,-0.0037267080745341558,5.0
Binning,-0.012068401638835238,-0.012599822537710732,6.0
