Transformation,CV Improvement,Test Improvement,Rank
Robust,0.003724224595875863,0.010204081632653073,1.0
Yeo-Johnson,0.003253936520629806,0.015769944341372927,2.0
Standard,0.002570400411264027,0.0037105751391465847,3.0
Quantile,0.00161078425772546,0.010204081632653073,4.0
MinMax,-0.0030216484834638046,0.011131725417439706,5.0
Binning,-0.008845985415357685,0.025974025974026,6.0
