Transformation,CV Improvement,Test Improvement,Rank
Yeo-Johnson,0.001250000000000005,0.0038095238095237865,1.0
Robust,0.0012202380952381433,0.0035714285714285587,2.0
Standard,0.001101190476190474,0.0029761904761904496,3.0
MinMax,-0.002380952380952404,0.0003571428571428654,4.0
Quantile,-0.00437499999999997,-0.00250000000000001,5.0
Binning,-0.024613095238095278,-0.010595238095238102,6.0
