Transformation,CV Improvement,Test Improvement,Rank
Yeo-Johnson,0.014821428571428557,0.012142857142857138,1.0
MinMax,0.011696428571428592,0.010000000000000009,2.0
Robust,0.010848214285714284,0.008392857142857138,3.0
Standard,0.010223214285714297,0.009285714285714295,4.0
Quantile,0.008169642857142865,0.0069642857142857085,5.0
Binning,-0.006741071428571467,-0.002678571428571403,6.0
