Transformation,CV Improvement,Test Improvement,Rank
MinMax,0.023809523809523836,0.026190476190476177,1.0
Robust,0.0236904761904762,0.026666666666666665,2.0
Yeo-Johnson,0.02178571428571425,0.029047619047619037,3.0
Standard,0.018690476190476226,0.02571428571428572,4.0
Quantile,0.01630952380952379,0.019999999999999987,5.0
Binning,-0.14619047619047615,-0.14857142857142858,6.0
