Transformation,CV Improvement,Test Improvement,Rank
Quantile,0.045089285714285686,0.05285714285714286,1.0
Robust,0.044508928571428595,0.05285714285714286,2.0
Standard,0.044241071428571414,0.0519642857142857,3.0
Yeo-Johnson,0.043616071428571414,0.051250000000000004,4.0
MinMax,0.04227678571428574,0.05017857142857142,5.0
Binning,0.03517857142857149,0.04053571428571429,6.0
