Transformation,CV Improvement,Test Improvement,Rank
Yeo-Johnson,0.0630357142857143,0.056607142857142856,1.0
Standard,0.0614732142857143,0.056964285714285724,2.0
MinMax,0.06116071428571431,0.05928571428571429,3.0
Robust,0.06058035714285713,0.05785714285714288,4.0
Quantile,0.05165178571428573,0.047678571428571445,5.0
Binning,0.04080357142857135,0.033571428571428585,6.0
