Transformation,CV Improvement,Test Improvement,Rank
Robust,-0.00029773593337632597,-0.0008046619696310582,1.0
MinMax,-0.00039601924157599874,-0.00040920851605297237,2.0
Yeo-Johnson,-0.001218048029143207,0.0027397242924025295,3.0
Quantile,-0.0014391126607016247,0.011342170766763788,4.0
Standard,-0.0015174997718658506,-0.003370626501907305,5.0
Binning,-0.08384707647153711,-0.12638955576600458,6.0
