Transformation,Model,No Scaling CV R2,Transformation CV R2,CV Improvement,No Scaling Test R2,Transformation Test R2,Test Improvement
Yeo-Johnson,LightGBM,-0.1284914656397961,-0.1291063148574277,-0.0006148492176316078,-0.23137374822429213,-0.29850286627467915,-0.06712911805038702
Robust,LightGBM,-0.1284914656397961,-0.13023268380863634,-0.0017412181688402362,-0.23137374822429213,-0.25725413190798085,-0.025880383683688724
Standard,XGBoost,-0.7199095726013184,-0.7223017454147339,-0.0023921728134155273,-2.30959415435791,-2.30959415435791,0.0
MinMax,LightGBM,-0.1284914656397961,-0.13840445190011708,-0.009912986260320972,-0.23137374822429213,-0.29475286206552465,-0.06337911384123252
Binning,LightGBM,-0.1284914656397961,-0.16375166823137072,-0.03526020259157461,-0.23137374822429213,-0.33653049327375717,-0.10515674504946504
Robust,Gradient Boosting,-1.0431774688829463,-1.1578952125566346,-0.11471774367368837,-0.8475918833883709,-0.5458392392561879,0.30175264413218295
Yeo-Johnson,Gradient Boosting,-1.0431774688829463,-1.2007508135745737,-0.15757334469162743,-0.8475918833883709,-1.2408273355162347,-0.3932354521278638
MinMax,Gradient Boosting,-1.0431774688829463,-1.2611813535288217,-0.2180038846458754,-0.8475918833883709,-0.5516404560335615,0.2959514273548094
Binning,Random Forest,-0.506566975528616,-0.7423128927736254,-0.23574591724500948,-0.39027889710109354,-0.2964162067918443,0.09386269030924921
Binning,Decision Tree,-1.7729342985284553,-2.6659096655972205,-0.8929753670687652,-1.3667059152071834,-2.0803168718703136,-0.7136109566631301
MinMax,Decision Tree,-1.7729342985284553,-2.682081523988166,-0.9091472254597106,-1.3667059152071834,-1.104945601507568,0.2617603136996154
Yeo-Johnson,Decision Tree,-1.7729342985284553,-2.7922299743363377,-1.0192956758078824,-1.3667059152071834,-0.899078736996797,0.46762717821038646
Binning,XGBoost,-0.7199095726013184,-1.994898271560669,-1.2749886989593504,-2.30959415435791,-0.7378846406936646,1.5717095136642456
Quantile,Decision Tree,-1.7729342985284553,-3.2862158252583016,-1.5132815267298463,-1.3667059152071834,-1.3295340638797724,0.037171851327411076
Robust,Decision Tree,-1.7729342985284553,-3.402848728067974,-1.6299144295395187,-1.3667059152071834,-1.3775966398769888,-0.01089072466980534
Standard,Decision Tree,-1.7729342985284553,-3.419307835885222,-1.6463735373567665,-1.3667059152071834,-1.3830912911496673,-0.016385375942483904
