Transformation,CV Improvement,Test Improvement,Rank
Robust,0.007460306218810124,0.004193848388636868,1.0
MinMax,0.006352979712636454,0.005440033010218321,2.0
Standard,0.005695928024014878,0.0064757967176951115,3.0
Yeo-Johnson,0.0028844330004091923,0.0015546726522709228,4.0
Quantile,-0.0008402288028856374,-0.011647643908539404,5.0
Binning,-0.06944798083547811,-0.09138266677758844,6.0
