Transformation,CV Improvement,Test Improvement,Rank
Yeo-Johnson,0.003356969841249522,-0.0010991987926794694,1.0
Quantile,-0.00021540032444437664,-0.008303195337453764,2.0
MinMax,-0.002958310736639281,-0.008628396799781684,3.0
Robust,-0.00435891053459305,-0.008665649378181262,4.0
Standard,-0.0043764835271706505,0.0005593159030194972,5.0
Binning,-0.07944796148804223,-0.12993122463399362,6.0
