Transformation,CV Improvement,Test Improvement,Rank
Robust,0.041156871783185736,0.03275946868324632,1.0
Yeo-Johnson,0.039828699358916655,0.0192407315474189,2.0
Standard,0.03728502786371438,0.037597243420407635,3.0
MinMax,0.03163200712219384,0.010337288906059228,4.0
Quantile,0.022588316124664467,0.03488475225665387,5.0
Binning,-0.021576792138766492,-0.09082671301752573,6.0
