Transformation,CV Improvement,Test Improvement,Rank
Robust,-0.009702160203937707,-0.007909257817641497,1.0
Standard,-0.014227324548875273,-0.010047842244477237,2.0
Yeo-Johnson,-0.01639109732677305,-0.010837581741577895,3.0
MinMax,-0.019628479242742802,-0.011827365792005542,4.0
Quantile,-0.04312172104533085,-0.02416096001401426,5.0
Binning,-0.06825545270417341,-0.045638295187812435,6.0
