Transformation,CV Improvement,Test Improvement,Rank
Standard,-0.002050004954654905,-0.002244122772089122,1.0
Robust,-0.002078737861031283,-0.00206749146321848,2.0
Yeo-Johnson,-0.0022089434437652577,-0.0020919008160256475,3.0
MinMax,-0.0026202042282789423,-0.002795479699384413,4.0
Binning,-0.013545906546792077,-0.016037646599168825,5.0
Quantile,-0.04138289129782476,-0.045724403309213804,6.0
