Transformation,CV Improvement,Test Improvement,Rank
Standard,-0.003409174538666755,-0.0042121323698433655,1.0
MinMax,-0.004593395839705504,-0.00945613075148948,2.0
Quantile,-0.0051575039212893485,-0.0005211304307299087,3.0
Robust,-0.006101872731694015,0.001753827316061694,4.0
Yeo-Johnson,-0.01345799289805437,-0.003820503241637011,5.0
Binning,-0.05787776775524552,-0.02050152787702973,6.0
