Method,Accuracy,CV Mean,CV Std,Rank
TVAE,0.873771730914588,0.8836329233680227,0.017057396035691175,1.0
SMOTE,0.8730158730158729,0.8818181818181817,0.03556724668762367,2.0
Original,0.8767951625094482,0.8662251655629138,0.028736449537074858,3.0
DecisionTree,0.8533635676492819,0.7835383159886471,0.013742620604056423,4.0
GaussianCopula,0.5532879818594104,0.5748344370860927,0.03114621245149668,5.0
MonteCarlo,0.5291005291005291,0.5358561967833492,0.02979473720800369,6.0
CTGAN,0.41723356009070295,0.5214758751182592,0.029429091064077446,7.0
CopulaGAN,0.46258503401360546,0.5035004730368968,0.03604222818901305,8.0
