Method,Accuracy,CV Mean,CV Std,Rank
TVAE,0.7842857142857144,0.913452380952381,0.01480327552633251,1.0
SMOTE,0.8542857142857143,0.8840604541601884,0.026241319735937445,2.0
Original,0.8709523809523809,0.868452380952381,0.013711264630712771,3.0
DecisionTree,0.8371428571428572,0.8372619047619047,0.01649619218377369,4.0
GaussianCopula,0.6547619047619048,0.6491666666666667,0.012760295435654222,5.0
CopulaGAN,0.6671428571428571,0.6477380952380951,0.02082169334104796,6.0
MonteCarlo,0.6538095238095237,0.6421428571428571,0.014321928876911022,7.0
CTGAN,0.6285714285714287,0.5353571428571429,0.02788735693983105,8.0
