Method,Accuracy,CV Mean,CV Std,Rank
DecisionTree,0.8807142857142857,0.8912946428571429,0.0076064429218612156,1.0
SMOTE,0.8798214285714285,0.890589510671478,0.015045418603046175,2.0
Original,0.8728571428571429,0.8822321428571429,0.009125014651936086,3.0
TVAE,0.8180357142857143,0.8171428571428571,0.009122347706629215,4.0
GaussianCopula,0.7657142857142858,0.6486607142857144,0.009272077222701272,5.0
CopulaGAN,0.7205357142857143,0.5779017857142856,0.01068253106884084,6.0
MonteCarlo,0.5657142857142857,0.5722321428571429,0.012357621896591913,7.0
CTGAN,0.5416071428571428,0.5552678571428571,0.013904762332397036,8.0
