Method,Accuracy,CV Mean,CV Std,Rank
TVAE,0.738404452690167,0.8825422212067553,0.019853068061497284,1.0
SMOTE,0.7495361781076068,0.78,0.03570721307384219,2.0
Original,0.7393320964749536,0.7368519258963081,0.030611136534736814,3.0
DecisionTree,0.6938775510204082,0.7028540964566554,0.032516053978298425,4.0
GaussianCopula,0.725417439703154,0.6449115591858494,0.03332505153831534,5.0
MonteCarlo,0.562152133580705,0.588437006149921,0.03804450360854384,6.0
CTGAN,0.6660482374768089,0.5762552122008341,0.03392984305632437,7.0
CopulaGAN,0.46382189239332094,0.5732621237219399,0.02944944039619965,8.0
