Method,Accuracy,CV Mean,CV Std,Rank
TVAE,0.7213114754098361,0.866715257531584,0.02742077074371661,1.0
SMOTE,0.791569086651054,0.7846568525813808,0.04168742908420077,2.0
Original,0.7962529274004684,0.7780004859086491,0.046429581899439,3.0
DecisionTree,0.6885245901639344,0.6881438289601556,0.05062107692752122,4.0
GaussianCopula,0.6744730679156908,0.6109086491739552,0.05675647965891387,5.0
MonteCarlo,0.4707259953161592,0.5424805636540331,0.045543684351251855,6.0
CTGAN,0.5831381733021077,0.4912050534499514,0.04100619562048433,7.0
CopulaGAN,0.4871194379391101,0.4589528668610301,0.07689212052034892,8.0
