Method,Accuracy,CV Mean,CV Std,Rank
TVAE,0.870892857142857,0.9446428571428572,0.0073558939220907645,1.0
Original,0.8842857142857142,0.894330357142857,0.005438984847769604,2.0
SMOTE,0.8383928571428572,0.8731681602530311,0.03268416944609405,3.0
CopulaGAN,0.84875,0.8709821428571428,0.006131271713926613,4.0
CTGAN,0.8514285714285714,0.8705357142857143,0.014423844804840786,5.0
GaussianCopula,0.8355357142857143,0.8291071428571428,0.007235368876075272,6.0
MonteCarlo,0.8289285714285715,0.8208482142857143,0.0034037184913757465,7.0
DecisionTree,0.8692857142857143,0.8110267857142858,0.009507598835980244,8.0
