Method,Accuracy,CV Mean,CV Std,Rank
SMOTE,0.5691964285714286,0.764613368283093,0.014787044101427838,1.0
TVAE,0.5941964285714285,0.761532300420168,0.02369212386814809,2.0
Original,0.6482142857142856,0.6061484593837535,0.02095595232744449,3.0
DecisionTree,0.5366071428571428,0.4905663515406162,0.01807584685116423,4.0
GaussianCopula,0.43080357142857145,0.42008490896358547,0.01790754220633881,5.0
MonteCarlo,0.41250000000000003,0.4160657387955182,0.022202634254914127,6.0
CopulaGAN,0.31071428571428567,0.33339417016806727,0.0234226973276721,7.0
CTGAN,0.296875,0.28941045168067225,0.021017606350162928,8.0
