Method,Accuracy,CV Mean,CV Std,Rank
SMOTE,0.8019642857142857,0.7976997584576281,0.013320970004983132,1.0
Original,0.8012499999999999,0.7975,0.013029480139352293,2.0
TVAE,0.6725,0.7639285714285714,0.012899441011886855,3.0
DecisionTree,0.7525000000000001,0.7291964285714286,0.01256283729876616,4.0
CopulaGAN,0.5658928571428572,0.6308928571428571,0.011437118153827386,5.0
CTGAN,0.5996428571428571,0.6009375,0.01413142588421121,6.0
GaussianCopula,0.6062500000000001,0.5776339285714285,0.015340148601373381,7.0
MonteCarlo,0.5066071428571429,0.5042410714285716,0.016311559539380637,8.0
