Method,Accuracy,CV Mean,CV Std,Rank
DecisionTree,0.9048214285714286,0.9158482142857143,0.0058527711205149805,1.0
Original,0.9175000000000001,0.9070982142857142,0.00653059739711388,2.0
TVAE,0.8253571428571428,0.897142857142857,0.010271957784906142,3.0
SMOTE,0.8610714285714286,0.8902935540069687,0.01673579314027829,4.0
CTGAN,0.78125,0.7854464285714285,0.018007140780488734,5.0
MonteCarlo,0.7719642857142858,0.7647767857142858,0.004777812384129469,6.0
GaussianCopula,0.7805357142857143,0.7631696428571428,0.007006181875885036,7.0
CopulaGAN,0.7664285714285715,0.7329017857142857,0.017008567917178107,8.0
