Method,Accuracy,CV Mean,CV Std,Rank
SMOTE,0.8891071428571429,0.8973481608212148,0.012330757794544064,1.0
Original,0.8875000000000001,0.8957589285714286,0.007453890565681437,2.0
TVAE,0.8525,0.8611607142857142,0.01161060228435552,3.0
CTGAN,0.7239285714285714,0.6561160714285714,0.013443586949690544,4.0
CopulaGAN,0.7257142857142858,0.6520089285714287,0.020340314924645025,5.0
DecisionTree,0.795,0.6068303571428572,0.014491336153580666,6.0
GaussianCopula,0.38160714285714287,0.3469642857142857,0.010979477005195571,7.0
MonteCarlo,0.22089285714285717,0.24861607142857142,0.011429670113307259,8.0
