Method,MSE,R2,CV Mean,CV Std,Rank
Regression,94934806472.79729,0.8892114881982717,57830047180.5414,12073095409.710773,1.0
Original,69587587084.95595,0.9187915844624961,86082862591.32617,18436765239.92722,2.0
GaussianCopula,138277779690.48773,0.8386304244318855,184124657933.6973,35896018693.817154,3.0
DecisionTree,135939239997.10999,0.8413594902197092,200234291353.805,28216392538.321064,4.0
TVAE,315388597152.90857,0.631942860411079,263397450915.5904,71628944722.94438,5.0
Stochastic,1770048004021.3542,-1.0656384256635782,1415877825678.6548,216873630162.85434,6.0
CTGAN,1518897900829.3748,-0.7725473328886346,1514644857199.8079,181659522269.29434,7.0
CopulaGAN,2240746956709.798,-1.614942083747374,1916999030209.8772,274936389297.7913,8.0
