Method,MSE,R2,CV Mean,CV Std,Rank
Regression,33918.90829766406,0.9900904285952363,16976.701713512713,6460.540972706952,1.0
Original,14640.944057590441,0.9957225784338328,26253.03422867577,8249.287863981592,2.0
DecisionTree,45691.578062131135,0.9866509784563544,100411.04537186296,19109.205813783432,3.0
GaussianCopula,651704.66976641,0.8096012985179517,734266.1302836275,85135.28382954269,4.0
TVAE,1378231.4534145684,0.5973429402356121,1674579.519353077,194769.62735802942,5.0
Stochastic,4385092.655588398,-0.28112623450591884,4763964.8864038205,267094.20015993627,6.0
CTGAN,3786230.595886202,-0.10616578189938738,4957235.111775379,677533.8555157528,7.0
CopulaGAN,5652841.262737066,-0.6515052026857943,5410041.820659207,524524.4002167142,8.0
