Method,MSE,R2,CV Mean,CV Std,Rank
TVAE,8.316462834037825,0.31648752929742807,1.6967904910555307,0.2057415624293741,1.0
Regression,6.097756628001292,0.4988382933471274,3.8300926885441817,0.5645602985237617,2.0
Original,5.992231675974848,0.5075111728247483,5.620110755610981,0.39262458369865133,3.0
GaussianCopula,6.366166985258293,0.47677821177277685,6.318594747520888,0.1731333252387763,4.0
CopulaGAN,9.88950705242091,0.18720235666316482,7.490665326512425,0.4087717992301239,5.0
CTGAN,9.050833265936284,0.25613117426901494,9.752574440148843,0.6279040530928774,6.0
DecisionTree,7.204011585710008,0.4079175438793056,10.47741938334561,0.520766130559815,7.0
Stochastic,14.441932674417881,-0.18695186234579492,13.280136373329995,0.9839187795247203,8.0
