Method,MSE,R2,CV Mean,CV Std,Rank
TVAE,7.5776093378085765,0.21144271762054417,0.9725528215082156,0.10016088476132998,1.0
Regression,5.5180426853842075,0.4257697149586549,3.644135175835354,0.3214852971882962,2.0
GaussianCopula,6.205652616768579,0.3542141862960241,5.400084610201903,0.2634508703976637,3.0
Original,5.200199888706751,0.45884575009357437,5.738253129924794,0.3611909371500602,4.0
CTGAN,8.527367674565168,0.1126069413212792,6.527238077925105,0.5514745416040091,5.0
CopulaGAN,8.82254131846896,0.08188995690627791,9.54070459625497,0.37707128547961977,6.0
DecisionTree,7.02671072736866,0.2687714946224352,11.039439436691405,0.5740155355746234,7.0
Stochastic,12.069166586262819,-0.2559672689234452,13.503227807469766,0.48093312612233713,8.0
