Method,MSE,R2,CV Mean,CV Std,Rank
Regression,4133759421.773874,0.6697195373776269,2552063842.9710193,210209454.526792,1.0
Original,3870004308.9895825,0.6907931296652087,3933520867.0481925,215034273.53750545,2.0
TVAE,6116517868.754896,0.5113004543299023,5469212302.148948,289117294.70767885,3.0
GaussianCopula,6561810534.440503,0.4757223152513875,6236694763.186233,302902062.6866796,4.0
DecisionTree,6521470912.952504,0.478945383525968,6896355651.133748,418762358.73591614,5.0
Stochastic,14055343531.719837,-0.12299843564208879,15809046172.385363,795311906.4848238,6.0
CopulaGAN,16206639496.561646,-0.29488338442817325,16094797501.929281,986885446.6919968,7.0
CTGAN,20894635286.002728,-0.669446405670447,17367532017.93759,804081420.4326643,8.0
