Method,MSE,R2,CV Mean,CV Std,Rank
TVAE,8119688.540998412,-0.18656894530490067,1321806.5156969058,176075.3204626094,1.0
Regression,9530812.788391832,-0.39278327741306557,6602875.943832609,2303705.5553619578,2.0
GaussianCopula,8000955.1851117,-0.1692178522613361,6986131.596460619,667265.9163978824,3.0
CopulaGAN,8485500.948084472,-0.24002684612514066,12265001.442773718,2551415.5114318025,4.0
Stochastic,11701260.228726676,-0.7099611333365382,19933347.84127978,1255844.61319004,5.0
Original,11975438.61905005,-0.7500281502725666,21116481.89389125,15940151.069264617,6.0
CTGAN,18221080.035561867,-1.6627335570638195,43074024.04763668,10419576.981719473,7.0
DecisionTree,12400762.778727127,-0.8121827809616076,51340050.029760465,23243063.07486966,8.0
