iter	RMSE
351	62.28891348
352	62.0821304
353	61.91542705
354	61.73460067
355	61.62989084
356	61.44534302
357	61.24328931
358	60.97172578
359	60.79697567
360	60.56383815
361	60.404528
362	60.21324111
363	59.99002622
364	59.90867568
365	59.80361561
366	59.75366068
367	59.5836013
368	59.38465873
369	59.24397344
370	59.13708893
371	58.96647539
372	58.76656893
373	58.57563457
374	58.33038852
375	58.1499736
376	57.99903423
377	57.8937981
378	57.78449592
379	57.60865518
380	57.35619485
381	57.22129723
382	57.02955216
383	56.83599145
384	56.64885067
385	56.50648215
386	56.40473654
387	56.25679693
388	56.1451921
389	56.06894603
390	55.88133998
391	55.74943908
392	55.61945442
393	55.49063924
394	55.35847205
395	55.13676897
396	54.96080501
397	54.78308833
398	54.64502609
399	54.56912137
